Outlet_ID,POI_ID,POI_Type,Distance_Meters,Base_Footfall,Decay_Weight,Footfall_Impact_Score
OUT_00001,POI_005303,place_of_worship,770.04,300,0.0371,11.13
OUT_00001,POI_005304,place_of_worship,337.93,300,0.5302,159.07
OUT_00001,POI_017275,school,833.69,1000,0.021,21.04
OUT_00001,POI_017284,place_of_worship,690.35,300,0.0708,21.24
OUT_00001,POI_017515,place_of_worship,296.14,300,0.6143,184.3
OUT_00001,POI_017569,place_of_worship,457.02,300,0.3134,94.01
OUT_00001,POI_017870,school,807.46,1000,0.0267,26.73
OUT_00001,POI_017885,clinic,516.8,200,0.2268,45.35
OUT_00001,POI_017930,place_of_worship,810.55,300,0.026,7.8
OUT_00001,POI_018478,place_of_worship,933.14,300,0.0079,2.38
OUT_00002,POI_001294,place_of_worship,704.9,300,0.0633,18.98
OUT_00002,POI_001314,school,755.43,1000,0.042,41.99
OUT_00005,POI_000625,school,826.96,1000,0.0224,22.39
OUT_00005,POI_005742,guest_house,897.2,50,0.0114,0.57
OUT_00005,POI_014801,guest_house,801.49,50,0.0282,1.41
OUT_00005,POI_014815,guest_house,789.34,50,0.0314,1.57
OUT_00006,POI_017027,place_of_worship,332.27,300,0.5415,162.46
OUT_00006,POI_018347,industrial,960.79,1000,0.0059,5.93
OUT_00009,POI_015408,place_of_worship,952.38,300,0.0065,1.94
OUT_00010,POI_000068,place_of_worship,775.92,300,0.0353,10.58
OUT_00010,POI_000144,hospital,740.9,5000,0.0474,236.89
OUT_00010,POI_000153,school,716.77,1000,0.0576,57.6
OUT_00010,POI_000216,museum,136.98,100,0.901,90.1
OUT_00010,POI_000272,school,932.58,1000,0.008,7.97
OUT_00010,POI_000281,hospital,829.33,5000,0.0219,109.53
OUT_00010,POI_000306,place_of_worship,904.69,300,0.0106,3.18
OUT_00010,POI_000679,hospital,860.8,5000,0.0163,81.51
OUT_00010,POI_000824,university,934.51,4000,0.0078,31.26
OUT_00010,POI_000956,school,812.43,1000,0.0256,25.55
OUT_00010,POI_001278,school,548.18,1000,0.1884,188.35
OUT_00010,POI_001595,hospital,831.06,5000,0.0216,107.79
OUT_00010,POI_002068,bus_stop,367.42,150,0.4724,70.86
OUT_00010,POI_002069,bus_stop,595.77,150,0.1392,20.88
OUT_00010,POI_002177,school,376.56,1000,0.4549,454.85
OUT_00010,POI_002178,place_of_worship,933.32,300,0.0079,2.37
OUT_00010,POI_002182,place_of_worship,919.01,300,0.0092,2.75
OUT_00010,POI_002913,hotel,940.44,100,0.0073,0.73
OUT_00010,POI_002914,hotel,511.02,100,0.2344,23.44
OUT_00010,POI_002915,hotel,659.08,100,0.0895,8.95
OUT_00010,POI_003524,bus_stop,549.67,150,0.1866,28
OUT_00010,POI_003525,bus_stop,716.16,150,0.0579,8.68
OUT_00010,POI_003526,bus_stop,437.16,150,0.3459,51.88
OUT_00010,POI_003527,bus_stop,753.51,150,0.0427,6.4
OUT_00010,POI_003528,bus_stop,475.9,150,0.2842,42.62
OUT_00010,POI_003529,bus_stop,823.72,150,0.0231,3.46
OUT_00010,POI_003530,bus_stop,656.59,150,0.0912,13.68
OUT_00010,POI_003531,bus_stop,427.56,150,0.3622,54.33
OUT_00010,POI_004930,school,434.16,1000,0.3509,350.92
OUT_00010,POI_004954,school,762.6,1000,0.0395,39.52
OUT_00010,POI_004958,school,716.15,1000,0.0579,57.89
OUT_00010,POI_004963,school,766.39,1000,0.0383,38.27
OUT_00010,POI_004969,school,886.75,1000,0.0127,12.67
OUT_00010,POI_005861,hospital,665.24,5000,0.0856,427.8
OUT_00010,POI_007239,hotel,681.79,100,0.0756,7.56
OUT_00010,POI_007590,school,472.11,1000,0.2899,289.88
OUT_00010,POI_007786,place_of_worship,777.25,300,0.0349,10.46
OUT_00010,POI_008100,hotel,831.51,100,0.0215,2.15
OUT_00010,POI_008111,guest_house,817.53,50,0.0244,1.22
OUT_00010,POI_008556,bus_stop,477.78,150,0.2813,42.2
OUT_00010,POI_008557,bus_stop,287.56,150,0.6317,94.75
OUT_00010,POI_008709,attraction,800.9,100,0.0283,2.83
OUT_00010,POI_008908,bus_stop,447.66,150,0.3285,49.27
OUT_00010,POI_008916,bus_stop,783.93,150,0.0329,4.94
OUT_00010,POI_008917,bus_stop,448.62,150,0.3269,49.03
OUT_00010,POI_010060,guest_house,918,50,0.0093,0.46
OUT_00010,POI_010641,guest_house,624.79,50,0.1143,5.72
OUT_00010,POI_011146,guest_house,921.15,50,0.009,0.45
OUT_00010,POI_011223,guest_house,855.28,50,0.0172,0.86
OUT_00010,POI_011491,bus_stop,693.67,150,0.069,10.35
OUT_00010,POI_011830,marketplace,856.59,3000,0.017,50.91
OUT_00010,POI_012637,hotel,586.8,100,0.1476,14.76
OUT_00010,POI_012998,hotel,794.53,100,0.03,3
OUT_00010,POI_013476,bus_stop,686.45,150,0.073,10.94
OUT_00010,POI_013505,bus_stop,941.2,150,0.0073,1.09
OUT_00010,POI_013530,bus_stop,454.06,150,0.3181,47.72
OUT_00010,POI_013531,bus_stop,813.36,150,0.0253,3.8
OUT_00010,POI_013626,guest_house,884.4,50,0.013,0.65
OUT_00010,POI_013735,bus_stop,927.42,150,0.0084,1.26
OUT_00010,POI_013755,bus_stop,660.39,150,0.0887,13.3
OUT_00010,POI_013756,bus_stop,356.24,150,0.4941,74.11
OUT_00010,POI_013815,bus_stop,589.07,150,0.1455,21.82
OUT_00010,POI_014977,bus_stop,178.12,150,0.8384,125.76
OUT_00010,POI_015506,guest_house,610.54,50,0.1261,6.3
OUT_00010,POI_015508,attraction,749.42,100,0.0442,4.42
OUT_00010,POI_015551,guest_house,787.35,50,0.0319,1.6
OUT_00010,POI_015577,hotel,924.01,100,0.0087,0.87
OUT_00010,POI_015962,place_of_worship,980.97,300,0.0048,1.43
OUT_00010,POI_015985,college,873.16,2000,0.0145,28.94
OUT_00010,POI_015986,college,893.99,2000,0.0118,23.59
OUT_00010,POI_015987,college,901.85,2000,0.0109,21.81
OUT_00010,POI_015988,college,865.14,2000,0.0156,31.27
OUT_00010,POI_015989,school,942.61,1000,0.0072,7.18
OUT_00010,POI_015990,school,885.93,1000,0.0128,12.77
OUT_00010,POI_015991,school,936.86,1000,0.0076,7.63
OUT_00010,POI_015992,college,861.91,2000,0.0161,32.26
OUT_00010,POI_016019,museum,285.64,100,0.6355,63.55
OUT_00010,POI_016055,university,669.75,4000,0.0827,330.96
OUT_00010,POI_016290,school,916.75,1000,0.0094,9.38
OUT_00010,POI_016330,school,688.25,1000,0.072,71.96
OUT_00010,POI_017081,hospital,896.14,5000,0.0115,57.73
OUT_00010,POI_017578,college,846.23,2000,0.0187,37.43
OUT_00010,POI_017678,hospital,934.99,5000,0.0078,38.88
OUT_00010,POI_017833,hotel,886.8,100,0.0127,1.27
OUT_00010,POI_018011,school,987.76,1000,0.0044,4.43
OUT_00010,POI_020215,apartments,806.11,500,0.027,13.52
OUT_00010,POI_020216,apartments,792.96,500,0.0304,15.2
OUT_00010,POI_022171,apartments,577.52,500,0.1568,78.39
OUT_00010,POI_023040,place_of_worship,402.43,300,0.4067,122
OUT_00010,POI_023048,apartments,488.22,500,0.266,133.01
OUT_00010,POI_023049,apartments,473.37,500,0.288,143.99
OUT_00010,POI_023324,hospital,876.68,5000,0.014,69.92
OUT_00010,POI_023631,school,942.98,1000,0.0072,7.15
OUT_00010,POI_023633,apartments,464.13,500,0.3022,151.08
OUT_00010,POI_024356,hospital,727.35,5000,0.0529,264.57
OUT_00010,POI_024388,place_of_worship,525.73,300,0.2154,64.61
OUT_00010,POI_024473,hospital,554.1,5000,0.1816,908.22
OUT_00010,POI_024498,apartments,891.89,500,0.012,6.02
OUT_00010,POI_025486,apartments,398.46,500,0.4139,206.96
OUT_00010,POI_025487,apartments,693.54,500,0.0691,34.55
OUT_00010,POI_025496,apartments,580.59,500,0.1537,76.86
OUT_00010,POI_025497,apartments,540.2,500,0.1977,98.83
OUT_00010,POI_025498,apartments,710.1,500,0.0607,30.36
OUT_00010,POI_025499,apartments,990.68,500,0.0043,2.14
OUT_00010,POI_025634,hospital,813.26,5000,0.0254,126.82
OUT_00010,POI_025963,place_of_worship,465.6,300,0.2999,89.96
OUT_00010,POI_026015,apartments,902.37,500,0.0108,5.42
OUT_00010,POI_026016,apartments,872.98,500,0.0145,7.25
OUT_00010,POI_026017,apartments,847.9,500,0.0184,9.21
OUT_00011,POI_009059,station,338.3,25000,0.5295,13237.66
OUT_00013,POI_000189,bus_stop,774.38,150,0.0357,5.36
OUT_00013,POI_006200,bus_stop,571.85,150,0.1626,24.38
OUT_00013,POI_006852,bus_stop,551.22,150,0.1849,27.73
OUT_00013,POI_006973,bus_stop,493.94,150,0.2578,38.67
OUT_00013,POI_014209,bus_stop,626.05,150,0.1133,17
OUT_00013,POI_015749,place_of_worship,942.65,300,0.0072,2.15
OUT_00014,POI_001071,school,898.19,1000,0.0113,11.31
OUT_00014,POI_001084,place_of_worship,718.91,300,0.0566,16.99
OUT_00014,POI_001089,school,859.18,1000,0.0166,16.55
OUT_00014,POI_013245,clinic,496.83,200,0.2538,50.75
OUT_00014,POI_024456,clinic,170.07,200,0.8516,170.31
OUT_00014,POI_025160,place_of_worship,527.75,300,0.2128,63.84
OUT_00017,POI_003745,place_of_worship,806.79,300,0.0269,8.07
OUT_00017,POI_007358,place_of_worship,932.55,300,0.008,2.39
OUT_00017,POI_010834,place_of_worship,794.47,300,0.03,9
OUT_00017,POI_010844,place_of_worship,827.84,300,0.0222,6.66
OUT_00017,POI_010845,hotel,912.27,100,0.0098,0.98
OUT_00017,POI_010874,place_of_worship,836,300,0.0206,6.18
OUT_00017,POI_010877,school,822.35,1000,0.0234,23.35
OUT_00017,POI_010878,place_of_worship,644.62,300,0.0994,29.82
